,Resort,Week,Year,Rating
361,Mt. Hotham,week8,2018,5.0
362,Mt. Hotham,week8,2019,4.75
363,Mt. Hotham,week8,2021,4.0
364,Mt. Hotham,week8,2022,4.333333333333333
365,Mt. Hotham,week8,2023,4.2
366,Mt. Hotham,week8,2024,4.0
367,Mt. Hotham,week8,2025,4.375
368,Mt. Hotham,week9,2017,5.0
369,Mt. Hotham,week9,2018,5.0
370,Mt. Hotham,week9,2019,5.0
371,Mt. Hotham,week9,2020,5.0
372,Mt. Hotham,week9,2021,5.0
373,Mt. Hotham,week9,2022,3.3333333333333335
374,Mt. Hotham,week9,2023,5.0
375,Mt. Hotham,week9,2024,5.0
376,Mt. Hotham,week9,2025,4.636363636363637
377,Mt. Stirling,week1,2020,5.0
378,Mt. Stirling,week1,2025,5.0
379,Mt. Stirling,week10,2025,4.5
380,Mt. Stirling,week11,2019,4.75
381,Mt. Stirling,week11,2025,5.0
382,Mt. Stirling,week14,2022,1.0
383,Mt. Stirling,week2,2019,4.0
384,Mt. Stirling,week2,2023,2.0
385,Mt. Stirling,week2,2025,4.0
386,Mt. Stirling,week5,2019,5.0
387,Mt. Stirling,week5,2021,5.0
388,Mt. Stirling,week5,2023,5.0
389,Mt. Stirling,week6,2017,5.0
390,Mt. Stirling,week6,2020,5.0
391,Mt. Stirling,week6,2022,5.0
392,Mt. Stirling,week6,2025,1.0
393,Mt. Stirling,week7,2018,5.0
394,Mt. Stirling,week7,2023,1.0
395,Mt. Stirling,week8,2021,5.0
396,Mt. Stirling,week9,2017,5.0
397,Mt. Stirling,week9,2025,5.0
398,Perisher,week1,2019,4.553191489361702
399,Perisher,week1,2020,5.0
400,Perisher,week1,2021,4.516129032258065
401,Perisher,week1,2022,4.777777777777778
402,Perisher,week1,2023,4.117647058823529
403,Perisher,week1,2024,4.2
404,Perisher,week1,2025,4.666666666666667
405,Perisher,week10,2018,4.543307086614173
406,Perisher,week10,2019,4.405063291139241
407,Perisher,week10,2020,4.681818181818182
408,Perisher,week10,2021,4.2727272727272725
409,Perisher,week10,2022,4.32258064516129
410,Perisher,week10,2023,4.147058823529412
411,Perisher,week10,2024,4.03030303030303
412,Perisher,week10,2025,4.125
413,Perisher,week11,2018,4.407766990291262
414,Perisher,week11,2019,4.410256410256411
415,Perisher,week11,2020,4.655172413793103
416,Perisher,week11,2021,4.0
417,Perisher,week11,2022,4.256410256410256
418,Perisher,week11,2023,4.580645161290323
419,Perisher,week11,2024,3.909090909090909
420,Perisher,week11,2025,4.115384615384615
421,Perisher,week12,2018,4.5
422,Perisher,week12,2019,4.596774193548387
423,Perisher,week12,2020,4.444444444444445
424,Perisher,week12,2021,4.666666666666667
425,Perisher,week12,2022,4.166666666666667
426,Perisher,week12,2023,4.142857142857143
427,Perisher,week12,2024,4.714285714285714
428,Perisher,week12,2025,4.25
429,Perisher,week13,2018,4.2560975609756095
430,Perisher,week13,2019,4.7164179104477615
431,Perisher,week13,2020,4.428571428571429
432,Perisher,week13,2021,5.0
433,Perisher,week13,2022,4.5
434,Perisher,week13,2023,4.4
435,Perisher,week13,2024,4.4
436,Perisher,week14,2018,4.628571428571429
437,Perisher,week14,2019,4.760869565217392
438,Perisher,week14,2020,4.363636363636363
439,Perisher,week14,2022,4.521739130434782
440,Perisher,week14,2023,4.363636363636363
441,Perisher,week14,2024,4.8
442,Perisher,week15,2018,4.507936507936508
443,Perisher,week15,2019,4.725
444,Perisher,week15,2020,5.0
445,Perisher,week15,2022,4.5
446,Perisher,week15,2023,4.875
447,Perisher,week15,2024,4.6
448,Perisher,week2,2019,4.485714285714286
449,Perisher,week2,2020,4.2
450,Perisher,week2,2021,4.75
451,Perisher,week2,2022,4.25
452,Perisher,week2,2023,4.411764705882353
453,Perisher,week2,2024,3.4
454,Perisher,week2,2025,4.7
455,Perisher,week3,2019,4.387096774193548
456,Perisher,week3,2020,3.888888888888889
457,Perisher,week3,2021,4.620689655172414
458,Perisher,week3,2022,4.576923076923077
459,Perisher,week3,2023,4.085714285714285
460,Perisher,week3,2024,4.75
461,Perisher,week3,2025,4.235294117647059
462,Perisher,week4,2018,4.384615384615385
463,Perisher,week4,2019,4.542857142857143
464,Perisher,week4,2020,4.571428571428571
465,Perisher,week4,2021,4.526315789473684
466,Perisher,week4,2022,4.59375
467,Perisher,week4,2023,4.0625
468,Perisher,week4,2024,4.454545454545454
469,Perisher,week4,2025,4.606060606060606
470,Perisher,week5,2018,4.36734693877551
471,Perisher,week5,2019,4.319148936170213
472,Perisher,week5,2020,4.151515151515151
473,Perisher,week5,2021,4.55
474,Perisher,week5,2022,4.591836734693878
475,Perisher,week5,2023,4.024390243902439
476,Perisher,week5,2024,3.9583333333333335
477,Perisher,week5,2025,4.222222222222222
478,Perisher,week6,2018,4.386792452830188
479,Perisher,week6,2019,4.551282051282051
480,Perisher,week6,2020,4.425
481,Perisher,week6,2021,4.4
482,Perisher,week6,2022,4.489795918367347
483,Perisher,week6,2023,4.434782608695652
484,Perisher,week6,2024,4.138888888888889
485,Perisher,week6,2025,4.368421052631579
486,Perisher,week7,2018,4.537037037037037
487,Perisher,week7,2019,4.554054054054054
488,Perisher,week7,2020,4.633333333333334
489,Perisher,week7,2021,4.2631578947368425
490,Perisher,week7,2022,4.555555555555555
491,Perisher,week7,2023,4.361111111111111
492,Perisher,week7,2024,4.28125
493,Perisher,week7,2025,4.407407407407407
494,Perisher,week8,2018,4.5390625
495,Perisher,week8,2019,4.468354430379747
496,Perisher,week8,2020,4.67741935483871
497,Perisher,week8,2021,4.555555555555555
498,Perisher,week8,2022,4.4186046511627906
499,Perisher,week8,2023,4.258064516129032
500,Perisher,week8,2024,4.666666666666667
501,Perisher,week8,2025,4.625
502,Perisher,week9,2018,4.330188679245283
503,Perisher,week9,2019,4.4625
504,Perisher,week9,2020,4.269230769230769
505,Perisher,week9,2021,2.8333333333333335
506,Perisher,week9,2022,4.230769230769231
507,Perisher,week9,2023,4.517241379310345
508,Perisher,week9,2024,4.424242424242424
509,Perisher,week9,2025,4.413793103448276
510,Selwyn,week1,2015,5.0
511,Selwyn,week1,2018,5.0
512,Selwyn,week1,2019,3.142857142857143
513,Selwyn,week1,2020,3.0
514,Selwyn,week1,2023,5.0
515,Selwyn,week1,2025,5.0
516,Selwyn,week10,2016,5.0
517,Selwyn,week10,2017,3.0
518,Selwyn,week10,2018,4.173913043478261
519,Selwyn,week10,2019,3.6363636363636362
520,Selwyn,week10,2023,3.0
521,Selwyn,week10,2024,4.875
522,Selwyn,week10,2025,3.6666666666666665
523,Selwyn,week11,2016,4.0
524,Selwyn,week11,2017,4.0
525,Selwyn,week11,2018,4.090909090909091
526,Selwyn,week11,2019,4.555555555555555
527,Selwyn,week11,2023,5.0
528,Selwyn,week11,2024,2.3333333333333335
529,Selwyn,week11,2025,4.0
530,Selwyn,week12,2016,4.4
531,Selwyn,week12,2017,2.5
532,Selwyn,week12,2018,4.1
533,Selwyn,week12,2019,4.181818181818182
534,Selwyn,week12,2023,4.0
535,Selwyn,week12,2024,3.0
536,Selwyn,week12,2025,4.5
537,Selwyn,week13,2013,4.0
538,Selwyn,week13,2018,4.3
539,Selwyn,week13,2019,4.75
540,Selwyn,week13,2023,4.0
541,Selwyn,week13,2024,4.5
542,Selwyn,week14,2017,2.5
543,Selwyn,week14,2018,4.375
544,Selwyn,week14,2019,4.375
545,Selwyn,week14,2020,5.0
546,Selwyn,week14,2024,1.0
547,Selwyn,week15,2018,4.125
548,Selwyn,week15,2019,3.875
549,Selwyn,week15,2023,1.0
550,Selwyn,week15,2024,1.0
551,Selwyn,week2,2016,5.0
552,Selwyn,week2,2018,5.0
553,Selwyn,week2,2019,4.0
554,Selwyn,week2,2021,5.0
555,Selwyn,week2,2023,1.0
556,Selwyn,week2,2024,5.0
557,Selwyn,week2,2025,5.0
558,Selwyn,week3,2018,5.0
559,Selwyn,week3,2019,4.75
560,Selwyn,week3,2020,3.0
561,Selwyn,week3,2021,1.0
562,Selwyn,week3,2023,3.8
563,Selwyn,week3,2024,5.0
564,Selwyn,week3,2025,5.0
565,Selwyn,week4,2016,5.0
566,Selwyn,week4,2017,2.0
567,Selwyn,week4,2018,3.3846153846153846
568,Selwyn,week4,2019,3.888888888888889
569,Selwyn,week4,2021,2.0
570,Selwyn,week4,2023,4.2
571,Selwyn,week4,2024,4.0
572,Selwyn,week4,2025,5.0
573,Selwyn,week5,2016,3.0
574,Selwyn,week5,2017,3.0
575,Selwyn,week5,2018,3.6666666666666665
576,Selwyn,week5,2019,4.166666666666667
577,Selwyn,week5,2023,2.9285714285714284
578,Selwyn,week5,2024,3.7777777777777777
579,Selwyn,week5,2025,2.2857142857142856
580,Selwyn,week6,2011,4.0
581,Selwyn,week6,2016,2.5
582,Selwyn,week6,2017,1.0
583,Selwyn,week6,2018,4.052631578947368
584,Selwyn,week6,2019,3.4285714285714284
585,Selwyn,week6,2023,2.8823529411764706
586,Selwyn,week6,2024,3.857142857142857
587,Selwyn,week6,2025,3.1
588,Selwyn,week7,2014,4.0
589,Selwyn,week7,2015,5.0
590,Selwyn,week7,2016,5.0
591,Selwyn,week7,2017,5.0
592,Selwyn,week7,2018,3.85
593,Selwyn,week7,2019,3.9473684210526314
594,Selwyn,week7,2023,3.4444444444444446
595,Selwyn,week7,2024,3.3076923076923075
596,Selwyn,week7,2025,3.2857142857142856
597,Selwyn,week8,2016,4.333333333333333
598,Selwyn,week8,2017,5.0
599,Selwyn,week8,2018,4.521739130434782
600,Selwyn,week8,2019,4.125
601,Selwyn,week8,2023,2.8333333333333335
602,Selwyn,week8,2024,4.5
603,Selwyn,week8,2025,3.4
604,Selwyn,week9,2016,3.5
605,Selwyn,week9,2017,4.0
606,Selwyn,week9,2018,4.421052631578948
607,Selwyn,week9,2019,4.111111111111111
608,Selwyn,week9,2022,5.0
609,Selwyn,week9,2023,3.75
610,Selwyn,week9,2024,4.75
611,Selwyn,week9,2025,3.65
612,Thredbo,week1,2019,4.523809523809524
613,Thredbo,week1,2020,4.0
614,Thredbo,week1,2021,4.75
615,Thredbo,week1,2022,4.8
616,Thredbo,week1,2023,4.5
617,Thredbo,week1,2024,4.333333333333333
618,Thredbo,week1,2025,4.7
619,Thredbo,week10,2019,4.368421052631579
620,Thredbo,week10,2020,4.043478260869565
621,Thredbo,week10,2021,4.75
622,Thredbo,week10,2022,4.6
623,Thredbo,week10,2023,3.7333333333333334
624,Thredbo,week10,2024,4.555555555555555
625,Thredbo,week10,2025,4.55
626,Thredbo,week11,2019,4.34375
627,Thredbo,week11,2020,4.75
628,Thredbo,week11,2021,5.0
629,Thredbo,week11,2022,4.421052631578948
630,Thredbo,week11,2023,4.428571428571429
631,Thredbo,week11,2024,3.909090909090909
632,Thredbo,week11,2025,4.357142857142857
633,Thredbo,week12,2019,4.285714285714286
634,Thredbo,week12,2020,4.363636363636363
635,Thredbo,week12,2021,5.0
636,Thredbo,week12,2022,4.5
637,Thredbo,week12,2023,4.75
638,Thredbo,week12,2024,4.888888888888889
639,Thredbo,week12,2025,4.0
640,Thredbo,week13,2019,4.425
641,Thredbo,week13,2020,4.4375
642,Thredbo,week13,2021,5.0
643,Thredbo,week13,2022,4.2727272727272725
644,Thredbo,week13,2023,4.0
645,Thredbo,week13,2024,4.090909090909091
646,Thredbo,week14,2019,4.607142857142857
647,Thredbo,week14,2020,4.75
648,Thredbo,week14,2021,5.0
649,Thredbo,week14,2022,4.6923076923076925
650,Thredbo,week14,2023,4.8
651,Thredbo,week14,2024,4.0
652,Thredbo,week15,2019,4.454545454545454
653,Thredbo,week15,2020,5.0
654,Thredbo,week15,2022,4.375
655,Thredbo,week15,2023,3.7142857142857144
656,Thredbo,week15,2024,4.5
657,Thredbo,week2,2019,4.642857142857143
658,Thredbo,week2,2020,5.0
659,Thredbo,week2,2021,4.529411764705882
660,Thredbo,week2,2022,4.833333333333333
661,Thredbo,week2,2023,4.285714285714286
662,Thredbo,week2,2024,4.0
663,Thredbo,week2,2025,4.777777777777778
664,Thredbo,week3,2019,4.428571428571429
665,Thredbo,week3,2020,5.0
666,Thredbo,week3,2021,4.125
667,Thredbo,week3,2022,4.25
668,Thredbo,week3,2023,4.333333333333333
669,Thredbo,week3,2024,5.0
670,Thredbo,week3,2025,5.0
671,Thredbo,week4,2019,4.517241379310345
672,Thredbo,week4,2020,4.714285714285714
673,Thredbo,week4,2021,3.1666666666666665
674,Thredbo,week4,2022,4.2
675,Thredbo,week4,2023,4.333333333333333
676,Thredbo,week4,2024,4.625
677,Thredbo,week4,2025,4.523809523809524
678,Thredbo,week5,2019,4.392857142857143
679,Thredbo,week5,2020,4.230769230769231
680,Thredbo,week5,2021,4.75
681,Thredbo,week5,2022,4.473684210526316
682,Thredbo,week5,2023,4.416666666666667
683,Thredbo,week5,2024,4.090909090909091
684,Thredbo,week5,2025,4.066666666666666
685,Thredbo,week6,2019,4.5675675675675675
686,Thredbo,week6,2020,4.666666666666667
687,Thredbo,week6,2021,4.181818181818182
688,Thredbo,week6,2022,4.363636363636363
689,Thredbo,week6,2023,4.32
690,Thredbo,week6,2024,4.541666666666667
691,Thredbo,week6,2025,4.166666666666667
692,Thredbo,week7,2019,4.542857142857143
693,Thredbo,week7,2020,4.24
694,Thredbo,week7,2021,5.0
695,Thredbo,week7,2022,4.4
696,Thredbo,week7,2023,4.6
697,Thredbo,week7,2024,4.523809523809524
698,Thredbo,week7,2025,4.28
699,Thredbo,week8,2019,4.3076923076923075
700,Thredbo,week8,2020,4.041666666666667
701,Thredbo,week8,2021,4.0
702,Thredbo,week8,2022,4.7727272727272725
703,Thredbo,week8,2023,4.428571428571429
704,Thredbo,week8,2024,4.5
705,Thredbo,week8,2025,4.4
706,Thredbo,week9,2019,4.410256410256411
707,Thredbo,week9,2020,4.5
708,Thredbo,week9,2021,3.8
709,Thredbo,week9,2022,4.6923076923076925
710,Thredbo,week9,2023,4.625
711,Thredbo,week9,2024,4.6
712,Thredbo,week9,2025,4.0
